entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
ABC7 LA,Neutral,-1,23168966,805273,341,67944,335577813,335577813,[TikTok](https://www.tiktok.com/@abc7la)
Fox News,Right-Leaning,-4,20881766,-5519094,1016,20553,482000407,482000407,[TikTok](https://tiktok.com/@foxnews)
The White House,Right-Leaning,13,16030670,6969393,64,250479,179699421,179699421,[TikTok](https://www.tiktok.com/@whitehouse)
The Daily Show,Left-Leaning,-1,15783433,-2873824,110,143486,128633588,128633588,[TikTok](https://tiktok.com/@thedailyshow)
MS NOW,Left-Leaning,1,15060036,-1573634,293,51399,193067176,193067176,[TikTok](https://www.tiktok.com/@msnow)
Carlos Eduardo Espina,Left-Leaning,-4,14846656,-4233681,440,33742,254456452,254456452,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
CBS Mornings,Neutral,-2,13926528,-2914346,413,33720,233694056,233694056,[TikTok](https://tiktok.com/@cbsmornings)
Metro,Neutral,4,13412705,3298716,125,107302,205073382,205073382,[TikTok](https://tiktok.com/@metrouk)
ABC7 Chicago,Neutral,-1,13231009,906377,618,21409,240521162,240521162,[TikTok](https://www.tiktok.com/@abc7chicago)
60 Minutes,Neutral,19,13204633,8152056,146,90443,146970236,146970236,[TikTok](https://tiktok.com/@60minutes)
Sky News,Neutral,11,12747698,6011329,709,17980,190063353,190063353,[TikTok](https://tiktok.com/@skynews)
ABC World News Tonight,Neutral,1,10425951,342249,152,68592,187300628,187300628,[TikTok](https://www.tiktok.com/@abcworldnews)
The Independent,Neutral,-3,10286752,-1122144,319,32247,181880761,181880761,[TikTok](https://www.tiktok.com/@independent)
